OrderID,OrderLineNo,OrderDate,ShipDate,ShipMode,OrderStatus,PaymentMethod,Quantity,Discount,LineTotal,CustomerID,CustomerName,CustomerEmail,CustomerPhone,CustomerAddress,CustomerCity,CustomerState,CustomerZip,CustomerCountry,CustomerSegment,CustomerJoinDate,ProductID,ProductName,ProductCategory,ProductSubCategory,ProductBrand,ProductUnitPrice,ProductWeightKg,SupplierName,SupplierCountry,SalesPersonID,SalesPersonName,SalesPersonEmail,SalesPersonRegion,SalesPersonRegionManager,SalesPersonHireDate,StoreID,StoreCity,StoreState,StoreRegion
ORD-1011,2,01-06-2025,07-06-2025,First Class,Shipped,Credit Card,8,0,3823.68,CUST-0068,Jonathan Hamilton,ariel18@example.org,239.474.0148,39261 Martin Garden Suite 856,Browntown,Vermont,99540,United States,Home Office,12-04-2024,PROD-0023,Argon Storage 344,Office Supplies,Storage,Pinecrest,477.96,26.9,Meza-Elliott,Mongolia,SP-007,Deborah Campbell,codylong@larsen.biz,South,Kevin Thompson,09-02-2019,ST-06,Williamsmouth,Vermont,East
ORD-1012,2,15-11-2025,19-11-2025,First Class,Returned,Store Credit,4,0.15,295.39,CUST-0025,Joseph Dean,wgarrett@example.org,548.424.7710,086 Jeffrey Ville Apt. 712,Lake Mollymouth,Nebraska,65824,United States,Home Office,31-03-2025,PROD-0021,Zenith Chair 971,Furniture,Chairs,Crestline,86.88,2.81,Peterson and Sons,Uruguay,SP-002,Mark Mccarty,sean43@steele.com,East,Michael Anderson,22-04-2023,ST-03,Natalieview,Missouri,South
ORD-1013,1,16-12-2024,21-12-2024,First Class,Delivered,Store Credit,4,0,1438.28,CUST-0077,Kathleen Dixon,adamsamy@example.com,-7323,1713 Lisa Radial Suite 962,Port Stephen,West Virginia,81261,United States,Home Office,12-04-2021,PROD-0019,Falcon Fan 258,Appliances,Fans,Voltura,359.57,38.75,Guzman Inc,Malta,SP-002,Mark Mccarty,sean43@steele.com,East,Michael Anderson,22-04-2023,ST-04,Armstrongfort,Arizona,West
ORD-1014,1,02-01-2025,11-01-2025,Same Day,Delivered,Credit Card,5,0.15,32.21,CUST-0017,Gabriel Juarez,aramirez@example.com,270-580-5310,92327 Anne Forge,North Jorge,Massachusetts,61453,United States,Small Business,30-01-2024,PROD-0018,Nova Table 268,Furniture,Tables,Meridian,7.58,15.68,"Yu, Banks and Thompson",Monaco,SP-001,Lance Mccall,daniellegarcia@taylor-mcgee.com,North,Tanya Buchanan,30-08-2020,ST-01,Rodriguezberg,Georgia,North
ORD-1015,1,26-03-2026,03-04-2026,First Class,Cancelled,Credit Card,6,0,2157.42,CUST-0074,Kelly Bailey,kimheather@example.com,440-410-5123,673 Soto Ferry Suite 609,West Larry,New Jersey,26364,United States,Home Office,30-10-2022,PROD-0019,Falcon Fan 258,Appliances,Fans,Voltura,359.57,38.75,Guzman Inc,Malta,SP-008,Lori Castillo,johnsongeorge@rowland-wells.com,South,Kevin Thompson,07-06-2020,ST-08,Andrewport,Maryland,Central
ORD-1016,1,24-01-2026,03-02-2026,First Class,Delivered,Debit Card,1,0,1001.33,CUST-0009,Daniel Baker,nicole35@example.com,(378)449-8084,18244 Jennifer Ford Suite 874,North Stephenshire,Connecticut,7159,United States,Small Business,16-01-2021,PROD-0026,Pinecrest Phone 261,Electronics,Phones,Falcon,1001.33,28.17,Thompson-Johnson,Azerbaijan,SP-008,Lori Castillo,johnsongeorge@rowland-wells.com,South,Kevin Thompson,07-06-2020,ST-02,North Annaville,Maine,Central
ORD-1017,3,07-02-2026,17-02-2026,Second Class,Returned,Bank Transfer,10,0.2,8248.16,CUST-0016,Tommy Evans,acastaneda@example.net,001-489-937-3467x0656,806 Christopher Meadow,Port Nicoleshire,Missouri,18287,United States,Corporate,30-11-2024,PROD-0036,Zenith Bookcase 491,Furniture,Bookcases,Nova,1031.02,8.98,"Wolfe, Sloan and Johnson",Reunion,SP-013,Jay Mcneil,oharris@flowers.com,South,Kevin Thompson,18-01-2024,ST-07,North Julie,Louisiana,South
ORD-1018,3,26-04-2026,06-05-2026,Standard Class,Returned,Credit Card,7,0,1805.51,CUST-0058,Jennifer Simpson DVM,nancy04@example.net,+1-515-347-8872x874,74205 Bradley Throughway Apt. 296,East Robertburgh,Arizona,56560,United States,Corporate,27-02-2023,PROD-0059,Pinecrest Vacuum 488,Appliances,Vacuums,Argon,257.93,13.14,Kelly-Combs,Tanzania,SP-008,Lori Castillo,johnsongeorge@rowland-wells.com,South,Kevin Thompson,07-06-2020,ST-05,West Richard,South Carolina,East
ORD-1019,1,24-03-2026,04-04-2026,Second Class,Returned,Credit Card,2,0,1499.34,CUST-0027,Jane Mcneil,tylerjohnson@example.net,001-851-471-8702,4596 Melissa Walk,Williamsfort,Virginia,88890,United States,Corporate,17-11-2024,PROD-0041,Meridian Phone 171,Electronics,Phones,Argon,749.67,26.57,Thompson-Johnson,Azerbaijan,SP-004,Sean Curtis,franciscojones@phillips.com,North,Tanya Buchanan,17-04-2024,ST-05,West Richard,South Carolina,East
ORD-1020,2,12-08-2025,24-08-2025,Standard Class,Shipped,PayPal,10,0.05,1782.67,CUST-0021,Christopher Smith,joshuamccann@example.net,627-910-9477x7520,67190 Edward Port,Tinaborough,Maine,40325,United States,Consumer,03-01-2021,PROD-0001,Nova Table 981,Furniture,Tables,Zenith,187.65,6.48,Thompson PLC,Ghana,SP-007,Deborah Campbell,codylong@larsen.biz,South,Kevin Thompson,09-02-2019,ST-08,Andrewport,Maryland,Central
ORD-1021,3,25-11-2024,27-11-2024,Second Class,Cancelled,Credit Card,4,0,1376.48,CUST-0037,Todd Carlson,moorekaren@example.org,+1-814-376-7976x43815,978 Williams Locks Apt. 034,Ericport,Washington,28187,United States,Small Business,02-06-2024,PROD-0045,Crestline Table 774,Furniture,Tables,Zenith,344.12,26.59,"Foster, Garcia and Turner",Burkina Faso,SP-014,Andrea Hughes,rarnold@ellis.org,West,Tiffany Fry,09-02-2022,ST-08,Andrewport,Maryland,Central
ORD-1022,1,16-03-2025,21-03-2025,Second Class,Processing,Store Credit,3,0,906.42,CUST-0070,Cody Cole,fgarcia@example.com,-7259,826 Dominic Hollow,Wardview,Connecticut,35681,United States,Corporate,18-01-2023,PROD-0015,Argon Laptop 919,Electronics,Laptops,Zenith,302.14,7.69,Guzman Inc,Malta,SP-011,Crystal Brown,acardenas@mcdaniel.com,South,Kevin Thompson,10-06-2021,ST-03,Natalieview,Missouri,South
ORD-1023,2,06-08-2025,08-08-2025,Same Day,Processing,Store Credit,8,0.15,1753.92,CUST-0073,Kimberly Little,rodriguezjohn@example.net,(529)509-6561x014,6798 Michael Burg Suite 146,Stephensstad,Vermont,11754,United States,Small Business,28-02-2021,PROD-0059,Pinecrest Vacuum 488,Appliances,Vacuums,Argon,257.93,13.14,Kelly-Combs,Tanzania,SP-005,Christopher Bennett,paynerachael@morgan.info,North,Tanya Buchanan,23-10-2022,ST-08,Andrewport,Maryland,Central
ORD-1024,3,08-11-2024,18-11-2024,First Class,Returned,PayPal,1,0.05,1025.32,CUST-0070,Cody Cole,fgarcia@example.com,-7259,826 Dominic Hollow,Wardview,Connecticut,35681,United States,Corporate,18-01-2023,PROD-0032,Nova Table 415,Furniture,Tables,Argon,1079.28,31.87,"Wolfe, Sloan and Johnson",Reunion,SP-008,Lori Castillo,johnsongeorge@rowland-wells.com,South,Kevin Thompson,07-06-2020,ST-02,North Annaville,Maine,Central
ORD-1025,1,15-04-2026,26-04-2026,Second Class,Cancelled,Store Credit,5,0.1,4747.81,CUST-0004,Juan Dunlap,maldonadoamanda@example.com,001-551-446-2704x82814,88095 Smith Lake Suite 303,Carlsonmouth,North Dakota,74865,United States,Corporate,26-04-2025,PROD-0006,Nova Accessorie 214,Electronics,Accessories,Argon,1055.07,33.28,Smith-Hardin,Cook Islands,SP-004,Sean Curtis,franciscojones@phillips.com,North,Tanya Buchanan,17-04-2024,ST-01,Rodriguezberg,Georgia,North
ORD-1026,2,05-05-2026,15-05-2026,Standard Class,Cancelled,PayPal,7,0.15,5926.62,CUST-0084,Chad Smith,hbenton@example.net,001-642-352-4105x6481,8507 Michael Glens Apt. 913,West Elizabethburgh,Delaware,97596,United States,Corporate,16-02-2023,PROD-0029,Nova Label 194,Office Supplies,Labels,Meridian,996.07,1.86,Copeland Group,Mauritius,SP-005,Christopher Bennett,paynerachael@morgan.info,North,Tanya Buchanan,23-10-2022,ST-03,Natalieview,Missouri,South
ORD-1027,3,22-08-2024,25-08-2024,Same Day,Processing,Bank Transfer,6,0.05,4247.41,CUST-0053,Johnny Khan,amitchell@example.org,(624)356-5060x98358,784 David Court Suite 558,East Brandy,Arkansas,48421,United States,Small Business,10-05-2024,PROD-0022,Voltura Table 692,Furniture,Tables,Nova,745.16,16.83,Thompson PLC,Ghana,SP-006,Matthew Lawson,gmoore@harris-lee.net,North,Tanya Buchanan,30-11-2022,ST-02,North Annaville,Maine,Central
ORD-1028,1,19-12-2024,25-12-2024,Same Day,Returned,Credit Card,5,0,691.5,CUST-0071,Mr. David Wright,mwheeler@example.com,924-706-5965,924 Morrison Square Apt. 752,East Ryanchester,Maryland,52699,United States,Consumer,04-06-2025,PROD-0003,Pinecrest Laptop 887,Electronics,Laptops,Argon,138.3,17.45,Schroeder PLC,Tokelau,SP-008,Lori Castillo,johnsongeorge@rowland-wells.com,South,Kevin Thompson,07-06-2020,ST-02,North Annaville,Maine,Central
ORD-1029,3,01-04-2026,08-04-2026,First Class,Returned,Bank Transfer,1,0,588.43,CUST-0085,James Hernandez,tranrobin@example.net,+1-263-453-6541x9518,061 Cline Trail,Port Michellebury,Arizona,41224,United States,Corporate,21-03-2022,PROD-0056,Meridian Label 651,Office Supplies,Labels,Voltura,588.43,10.99,Oconnor Group,Somalia,SP-009,John Guerrero,maypaul@mcclure-wood.info,North,Tanya Buchanan,07-11-2018,ST-08,Andrewport,Maryland,Central
ORD-1030,1,04-04-2026,08-04-2026,First Class,Cancelled,Bank Transfer,5,0.1,4482.32,CUST-0081,Jennifer Anderson MD,zdavis@example.org,255-442-6221,3269 Heath Corners Apt. 219,Smithmouth,Delaware,96184,United States,Small Business,03-07-2022,PROD-0029,Nova Label 194,Office Supplies,Labels,Meridian,996.07,1.86,Copeland Group,Mauritius,SP-013,Jay Mcneil,oharris@flowers.com,South,Kevin Thompson,18-01-2024,ST-01,Rodriguezberg,Georgia,North
ORD-1031,3,30-01-2025,11-02-2025,Standard Class,Returned,Bank Transfer,3,0,1911.87,CUST-0016,Tommy Evans,acastaneda@example.net,001-489-937-3467x0656,806 Christopher Meadow,Port Nicoleshire,Missouri,18287,United States,Corporate,30-11-2024,PROD-0002,Meridian Kitchen 710,Appliances,Kitchen,Falcon,637.29,38.85,Guzman Inc,Malta,SP-011,Crystal Brown,acardenas@mcdaniel.com,South,Kevin Thompson,10-06-2021,ST-04,Armstrongfort,Arizona,West
ORD-1032,1,30-06-2025,08-07-2025,Same Day,Processing,Store Credit,2,0.15,513.64,CUST-0012,Victor Baker,carlsonmichael@example.com,(798)816-9340x60883,595 Jennifer Hills,Sheilaville,Kentucky,66970,United States,Consumer,16-02-2022,PROD-0015,Argon Laptop 919,Electronics,Laptops,Zenith,302.14,7.69,Guzman Inc,Malta,SP-014,Andrea Hughes,rarnold@ellis.org,West,Tiffany Fry,09-02-2022,ST-02,North Annaville,Maine,Central
ORD-1033,3,03-06-2026,11-06-2026,Second Class,Cancelled,Debit Card,4,0.05,1219.95,CUST-0035,Patricia Le,russellbeasley@example.com,376-361-5654x52711,52809 Santiago Loop Suite 604,Garciaville,Tennessee,79197,United States,Home Office,22-02-2022,PROD-0027,Zenith Accessorie 999,Electronics,Accessories,Crestline,321.04,35.6,"Yu, Banks and Thompson",Monaco,SP-014,Andrea Hughes,rarnold@ellis.org,West,Tiffany Fry,09-02-2022,ST-08,Andrewport,Maryland,Central
ORD-1034,2,29-12-2025,31-12-2025,First Class,Returned,PayPal,5,0.2,1710.6,CUST-0077,Kathleen Dixon,adamsamy@example.com,-7323,1713 Lisa Radial Suite 962,Port Stephen,West Virginia,81261,United States,Home Office,12-04-2021,PROD-0033,Voltura Accessorie 782,Electronics,Accessories,Zenith,427.65,22.44,Meza-Elliott,Mongolia,SP-012,Steven Klein,davidtodd@rush.com,South,Kevin Thompson,08-06-2023,ST-03,Natalieview,Missouri,South
ORD-1035,2,17-02-2025,27-02-2025,Second Class,Cancelled,Store Credit,10,0.15,3056.34,CUST-0001,Brian Yang,garzaanthony@example.org,538.990.8386,26542 Susan Junction Apt. 161,North Judithbury,Iowa,47553,United States,Consumer,26-10-2024,PROD-0019,Falcon Fan 258,Appliances,Fans,Voltura,359.57,38.75,Guzman Inc,Malta,SP-012,Steven Klein,davidtodd@rush.com,South,Kevin Thompson,08-06-2023,ST-05,West Richard,South Carolina,East
ORD-1036,1,25-03-2026,02-04-2026,Second Class,Returned,Bank Transfer,6,0.2,2294.21,CUST-0062,Monica Walker,avilatiffany@example.com,+1-886-286-3375x24310,11907 John Cape,Davidside,Montana,53226,United States,Corporate,11-10-2022,PROD-0023,Argon Storage 344,Office Supplies,Storage,Pinecrest,477.96,26.9,Meza-Elliott,Mongolia,SP-006,Matthew Lawson,gmoore@harris-lee.net,North,Tanya Buchanan,30-11-2022,ST-07,North Julie,Louisiana,South
ORD-1037,2,05-08-2025,06-08-2025,Same Day,Cancelled,Debit Card,6,0.15,2932.45,CUST-0030,Colleen Lee,erica21@example.net,+1-504-470-9521x4562,842 Sloan Orchard Suite 517,Kimberlybury,Rhode Island,10370,United States,Consumer,15-04-2021,PROD-0055,Nova Heater 977,Appliances,Heaters,Meridian,574.99,37.72,"Yu, Banks and Thompson",Monaco,SP-013,Jay Mcneil,oharris@flowers.com,South,Kevin Thompson,18-01-2024,ST-07,North Julie,Louisiana,South
ORD-1038,3,08-11-2025,10-11-2025,Same Day,Delivered,Debit Card,8,0,1106.4,CUST-0064,Tracy Grant,paulscott@example.com,+1-317-551-8304x6990,3540 Sharon Streets,Port Steven,Arkansas,15877,United States,Small Business,25-04-2024,PROD-0003,Pinecrest Laptop 887,Electronics,Laptops,Argon,138.3,17.45,Schroeder PLC,Tokelau,SP-003,Amber Kim,acosta@macias-bell.biz,South,Kevin Thompson,12-03-2019,ST-06,Williamsmouth,Vermont,East
ORD-1039,2,30-10-2024,01-11-2024,First Class,Returned,Bank Transfer,8,0.2,3765.95,CUST-0053,Johnny Khan,amitchell@example.org,(624)356-5060x98358,784 David Court Suite 558,East Brandy,Arkansas,48421,United States,Small Business,10-05-2024,PROD-0056,Meridian Label 651,Office Supplies,Labels,Voltura,588.43,10.99,Oconnor Group,Somalia,SP-011,Crystal Brown,acardenas@mcdaniel.com,South,Kevin Thompson,10-06-2021,ST-03,Natalieview,Missouri,South
ORD-1040,2,23-08-2024,03-09-2024,Same Day,Returned,Credit Card,9,0.05,9020.85,CUST-0084,Chad Smith,hbenton@example.net,001-642-352-4105x6481,8507 Michael Glens Apt. 913,West Elizabethburgh,Delaware,97596,United States,Corporate,16-02-2023,PROD-0006,Nova Accessorie 214,Electronics,Accessories,Argon,1055.07,33.28,Smith-Hardin,Cook Islands,SP-014,Andrea Hughes,rarnold@ellis.org,West,Tiffany Fry,09-02-2022,ST-06,Williamsmouth,Vermont,East
ORD-1041,1,30-04-2025,04-05-2025,Standard Class,Cancelled,Debit Card,2,0.05,1234.16,CUST-0080,William Patterson,nicoleturner@example.com,554-815-2064,103 Miller Ramp,Smithburgh,New Hampshire,30148,United States,Small Business,07-03-2023,PROD-0005,Argon Binder 880,Office Supplies,Binders,Crestline,649.56,31.17,"Wolfe, Sloan and Johnson",Reunion,SP-004,Sean Curtis,franciscojones@phillips.com,North,Tanya Buchanan,17-04-2024,ST-05,West Richard,South Carolina,East
ORD-1042,2,09-10-2025,15-10-2025,First Class,Cancelled,Debit Card,1,0,605.91,CUST-0089,Carl Stein,david70@example.org,001-566-470-6625,7209 Deborah Parks Suite 870,North Wendyborough,Tennessee,11998,United States,Home Office,24-12-2021,PROD-0020,Nova Accessorie 698,Electronics,Accessories,Falcon,605.91,34.12,Kelly-Combs,Tanzania,SP-001,Lance Mccall,daniellegarcia@taylor-mcgee.com,North,Tanya Buchanan,30-08-2020,ST-01,Rodriguezberg,Georgia,North
ORD-1043,3,08-12-2024,11-12-2024,Same Day,Returned,Debit Card,3,0,3514.71,CUST-0032,Andrew Ferrell,davispaige@example.org,(275)786-9261x7964,7351 Stephens Rue,Debraville,Florida,47513,United States,Consumer,19-11-2020,PROD-0034,Voltura Vacuum 985,Appliances,Vacuums,Crestline,1171.57,32.45,"Yu, Banks and Thompson",Monaco,SP-007,Deborah Campbell,codylong@larsen.biz,South,Kevin Thompson,09-02-2019,ST-03,Natalieview,Missouri,South
ORD-1044,2,29-04-2026,03-05-2026,Same Day,Processing,Credit Card,8,0.15,1753.92,CUST-0064,Tracy Grant,paulscott@example.com,+1-317-551-8304x6990,3540 Sharon Streets,Port Steven,Arkansas,15877,United States,Small Business,25-04-2024,PROD-0059,Pinecrest Vacuum 488,Appliances,Vacuums,Argon,257.93,13.14,Kelly-Combs,Tanzania,SP-010,Dennis Hood,hernandezheather@miller.net,Central,Zachary Sanford,25-01-2021,ST-03,Natalieview,Missouri,South
ORD-1045,3,04-10-2025,06-10-2025,First Class,Cancelled,PayPal,8,0,842.56,CUST-0060,Rachel Fox,christian91@example.org,-3638,971 Stokes Motorway,Port John,Wisconsin,17795,United States,Consumer,24-02-2023,PROD-0058,Meridian Chair 706,Furniture,Chairs,Nova,105.32,17.2,"Yu, Banks and Thompson",Monaco,SP-005,Christopher Bennett,paynerachael@morgan.info,North,Tanya Buchanan,23-10-2022,ST-03,Natalieview,Missouri,South
ORD-1046,1,13-04-2025,20-04-2025,Same Day,Returned,PayPal,8,0,4599.92,CUST-0059,Timothy Smith,wyoung@example.com,649-390-4530x17426,9332 Hernandez Summit Suite 687,South Elizabethburgh,Florida,99768,United States,Home Office,09-04-2023,PROD-0055,Nova Heater 977,Appliances,Heaters,Meridian,574.99,37.72,"Yu, Banks and Thompson",Monaco,SP-005,Christopher Bennett,paynerachael@morgan.info,North,Tanya Buchanan,23-10-2022,ST-04,Armstrongfort,Arizona,West
ORD-1047,1,28-11-2024,29-11-2024,Standard Class,Returned,Bank Transfer,7,0,2516.99,CUST-0074,Kelly Bailey,kimheather@example.com,440-410-5123,673 Soto Ferry Suite 609,West Larry,New Jersey,26364,United States,Home Office,30-10-2022,PROD-0019,Falcon Fan 258,Appliances,Fans,Voltura,359.57,38.75,Guzman Inc,Malta,SP-012,Steven Klein,davidtodd@rush.com,South,Kevin Thompson,08-06-2023,ST-05,West Richard,South Carolina,East
ORD-1048,3,16-05-2026,26-05-2026,Second Class,Returned,PayPal,6,0,6841.8,CUST-0037,Todd Carlson,moorekaren@example.org,+1-814-376-7976x43815,978 Williams Locks Apt. 034,Ericport,Washington,28187,United States,Small Business,02-06-2024,PROD-0050,Falcon Monitor 783,Electronics,Monitors,Argon,1140.3,35.67,"Wolfe, Sloan and Johnson",Reunion,SP-013,Jay Mcneil,oharris@flowers.com,South,Kevin Thompson,18-01-2024,ST-04,Armstrongfort,Arizona,West
ORD-1049,3,30-01-2026,10-02-2026,Standard Class,Processing,Bank Transfer,2,0.15,110.52,CUST-0087,Angela Davis,danafoster@example.net,001-706-723-4456,3132 Eric Expressway Suite 756,Haynesstad,New Jersey,16326,United States,Small Business,06-04-2023,PROD-0049,Crestline Monitor 923,Electronics,Monitors,Falcon,65.01,10.04,Meza-Elliott,Mongolia,SP-012,Steven Klein,davidtodd@rush.com,South,Kevin Thompson,08-06-2023,ST-03,Natalieview,Missouri,South
ORD-1050,3,17-12-2025,19-12-2025,Same Day,Shipped,Debit Card,5,0,4085.1,CUST-0005,Beth Keller,josephbrennan@example.com,383.546.5787,50983 Adrian Station,Lake Toddland,Wisconsin,83220,United States,Corporate,16-11-2020,PROD-0038,Pinecrest Paper 459,Office Supplies,Paper,Meridian,817.02,33.76,"Foster, Garcia and Turner",Burkina Faso,SP-006,Matthew Lawson,gmoore@harris-lee.net,North,Tanya Buchanan,30-11-2022,ST-03,Natalieview,Missouri,South
ORD-1051,1,25-02-2025,06-03-2025,First Class,Cancelled,PayPal,9,0,4885.47,CUST-0017,Gabriel Juarez,aramirez@example.com,270-580-5310,92327 Anne Forge,North Jorge,Massachusetts,61453,United States,Small Business,30-01-2024,PROD-0051,Crestline Heater 861,Appliances,Heaters,Falcon,542.83,30.1,"Yu, Banks and Thompson",Monaco,SP-009,John Guerrero,maypaul@mcclure-wood.info,North,Tanya Buchanan,07-11-2018,ST-06,Williamsmouth,Vermont,East
ORD-1052,1,10-05-2025,12-05-2025,Same Day,Returned,PayPal,3,0.2,234.22,CUST-0044,Jennifer Sanders,joe15@example.org,4519522047,010 Lewis Drive Suite 143,Port Shannon,Minnesota,39973,United States,Consumer,11-03-2021,PROD-0052,Voltura Label 381,Office Supplies,Labels,Falcon,97.59,11.5,Schroeder PLC,Tokelau,SP-002,Mark Mccarty,sean43@steele.com,East,Michael Anderson,22-04-2023,ST-08,Andrewport,Maryland,Central
ORD-1053,2,28-11-2024,03-12-2024,First Class,Processing,Store Credit,9,0,4885.47,CUST-0012,Victor Baker,carlsonmichael@example.com,(798)816-9340x60883,595 Jennifer Hills,Sheilaville,Kentucky,66970,United States,Consumer,16-02-2022,PROD-0051,Crestline Heater 861,Appliances,Heaters,Falcon,542.83,30.1,"Yu, Banks and Thompson",Monaco,SP-007,Deborah Campbell,codylong@larsen.biz,South,Kevin Thompson,09-02-2019,ST-01,Rodriguezberg,Georgia,North
ORD-1054,1,23-09-2025,25-09-2025,First Class,Returned,Debit Card,4,0.05,1069.17,CUST-0049,Steven Wallace,cochrantammy@example.com,+1-451-588-4422x58313,58957 Cheryl Corners Apt. 467,Gonzalezberg,California,69404,United States,Corporate,21-08-2022,PROD-0053,Zenith Storage 241,Office Supplies,Storage,Crestline,281.36,27.79,Thompson-Johnson,Azerbaijan,SP-011,Crystal Brown,acardenas@mcdaniel.com,South,Kevin Thompson,10-06-2021,ST-06,Williamsmouth,Vermont,East
